obs,samples,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,A:SD,gsw:SD
1,veg_water,1707526541,0,20240209 19:55:41,19:55:41,10,1707526533,0.000180718,0.180717698,-0.689737728,447.066625,589.7851213,59.74429722,45.28713994,0.00669225,2.123595132,0.006680556,0.004176396,0.15812127,0.000257594
2,veg_drought,1707526886,345,20240209 20:01:26,20:01:26,10,1707526878,0.000158866,0.15886585,-0.272914095,449.42475,503.3775234,50.99932386,45.53313827,0.005856662,2.119377171,0.005847685,0.003655609,0.132214004,0.000234432
3,veg_old,1707527063,522,20240209 20:04:23,20:04:23,10,1707527055,0.000321465,0.321465359,1.051249911,447.427875,295.4768319,29.93798902,45.33381086,0.01236089,2.119246161,0.012320976,0.007704185,0.236789586,0.000371698
4,fruit_old,1707527266,725,20240209 20:07:46,20:07:46,10,1707527258,0.00051,0.509999634,1.310703408,451.169375,331.254776,33.56192244,45.71137586,0.020242062,2.121284628,0.020135363,0.012594141,0.593955859,0.000320392
5,veg_water,1707538343,11802,20240209 23:12:23,23:12:23,10,1707538335,8.1417E-05,0.081417003,-2.001798269,462.9814,1073.247289,108.5865699,46.84247767,0.005090181,2.118038255,0.005083395,0.003177731,0.51227317,0.001452806
6,veg_drought,1707538597,12056,20240209 23:16:37,23:16:37,10,1707538589,3.38228E-05,0.033822823,0.794317928,461.2192,-150.5549938,-15.23214019,46.66305204,0.002092138,2.116746223,0.00209099,0.001306972,0.251398411,0.000131641
7,veg_old,1707538798,12257,20240209 23:19:58,23:19:58,10,1707538790,0.00012551,0.125510442,4.513703666,462.65575,-433.6123363,-43.84280174,46.77939861,0.008075654,2.11688642,0.008058578,0.005038142,0.404229564,0.000550192
8,fruit_old,1707538985,12444,20240209 23:23:05,23:23:05,10,1707538977,6.18014E-05,0.061801406,1.958904706,477.32325,-313.7912359,-31.74762909,48.2928768,0.00397558,2.117689517,0.003971438,0.002482521,0.957252428,0.000424144
9,veg_water,1707553137,26596.1,20240210 03:18:57,03:18:57,10,1707553129,0.000116197,0.116196566,-0.190788908,526.4078125,555.1699817,56.05785249,53.15361507,0.007129147,2.116493461,0.007115833,0.00444859,0.862111792,0.000195905
10,veg_drought,1707553365,26824.1,20240210 03:22:45,03:22:45,10,1707553357,4.45002E-05,0.044500216,0.677798498,534.7335333,129.6400113,13.08945587,53.99082366,0.002737172,2.117322445,0.002735208,0.001709681,0.325455912,0.000393604
11,veg_old,1707553643,27102,20240210 03:27:23,03:27:23,10,1707553635,6.38773E-05,0.063877321,-36.838177,582.8610667,15157.81658,1529.023884,58.79530786,0.003992389,2.115725798,0.003988208,0.002493005,1.050764367,0.001688286
12,fruit_old,1707553815,27274,20240210 03:30:15,03:30:15,10,1707553807,7.70954E-05,0.077095435,0.087802967,537.7692667,496.5706251,50.136453,54.29609043,0.004963932,2.113767317,0.004957464,0.003098996,1.012967547,0.002591205
13,veg_water,1707567686,41145.1,20240210 07:21:26,07:21:26,10,1707567678,0.00045541,0.45541018,1.759515569,475.4752,288.6799125,29.13191042,47.98221259,0.016623515,2.11448114,0.01655125,0.010350998,0.270948201,0.000266543
14,veg_drought,1707567925,41384.1,20240210 07:25:25,07:25:25,10,1707567917,0.000254086,0.254086239,1.138172181,485.3730625,270.4195935,27.28892325,48.98057895,0.009205678,2.115075325,0.009183477,0.005741663,0.395472552,0.000155807
15,veg_old,1707568150,41609.1,20240210 07:29:10,07:29:10,10,1707568142,0.000689004,0.689004314,3.118624852,479.679875,276.1049797,27.86320012,48.40700942,0.026716574,2.117499667,0.026530712,0.016598286,0.419815383,0.000642913
16,fruit_old,1707568319,41778.1,20240210 07:31:59,07:31:59,10,1707568311,0.000969326,0.969325876,3.72437059,479.2106875,305.8254784,30.86373682,48.36167548,0.03820507,2.11353656,0.037825513,0.023674733,0.240111966,0.000572665
17,veg_water,1707582206,55665,20240210 11:23:26,11:23:26,10,1707582198,0.000230875,0.230875109,1.328263932,483.0139333,202.6382225,20.42277874,48.68028633,0.008046125,2.114449053,0.008029154,0.005019743,0.261947074,0.000141553
18,veg_drought,1707582435,55894,20240210 11:27:15,11:27:15,10,1707582427,0.000151802,0.15180158,0.556121609,479.8428125,298.3760346,30.06938873,48.35703404,0.005430778,2.112891327,0.005423035,0.003390092,0.102184173,0.000239525
19,veg_old,1707582673,56132,20240210 11:31:13,11:31:13,10,1707582665,0.000830977,0.830977024,2.872625095,477.6606,316.6574313,31.91170285,48.13707693,0.032056672,2.11197809,0.031788792,0.019891876,0.44650865,0.000254942
20,fruit_old,1707583097,56556,20240210 11:38:17,11:38:17,10,1707583089,0.00036431,0.364310376,1.488370459,478.3158,284.9131344,28.7102446,48.19912444,0.013504266,2.109739232,0.013456427,0.008414551,0.160769481,0.000173992
21,veg_water,1707596577,70036.1,20240210 15:22:57,15:22:57,10,1707596569,0.000207228,0.20722768,0.281463426,507.190625,424.1963416,42.6310683,50.97186387,0.007298625,2.109120649,0.007284623,0.004554145,0.727301865,0.000928081
22,veg_drought,1707596887,70346.1,20240210 15:28:07,15:28:07,10,1707596879,0.000212956,0.212956267,0.181476519,514.3580667,454.2248222,45.65043521,51.69393755,0.007585734,2.10707371,0.007570595,0.00473298,0.332899904,0.000662724
23,veg_old,1707597054,70513.1,20240210 15:30:54,15:30:54,10,1707597046,0.000566288,0.566288211,2.258276881,518.0056875,322.8499688,32.44867964,52.06319414,0.02056148,2.109333684,0.020450777,0.012791632,0.197845501,0.00059403
24,fruit_old,1707597678,71137,20240210 15:41:18,15:41:18,10,1707597670,0.000379405,0.379404601,0.572727411,521.183,433.7857625,43.59467115,52.37793275,0.013844764,2.104040531,0.013794352,0.008625984,0.838710475,0.000321028